Typical c1,Typical c2,Typical c3,Typical c4,Atypical c1,Atypical c2
-3.829770992,-4.982442748,-4.577862595,-9.081679389,-3.42519084,-4.325954198
-3.295419847,-3.303053435,-4.936641221,-3.669465649,-3.83740458,-3.944274809
-4.241984733,-3.90610687,-3.638931298,-3.7,-4.814503817,74.94122137
-4.165648855,-6.417557252,-1.127480916,-4.707633588,-1.135114504,20.37633588
-3.83740458,-4.150381679,-6.028244275,-4.432824427,-4.638931298,115.8496183
-7.463358779,-4.715267176,-1.539694656,-4.364122137,-1.707633588,-105.8221374
-2.883206107,-4.951908397,-3.379389313,-7.982442748,17.46793893,209.429771
29.21603053,37.09389313,-0.867938931,-1.83740458,-250.8374046,-198.0129771
-20.98244275,2.315267176,12.89541985,-8.180916031,-147.6465649,51.52900763
-4.913740458,-28.10458015,-29.24961832,3.139694656,-250.8374046,-40.00534351
-55.61603053,-32.11984733,-28.47099237,-26.9519084,-65.97480916,10.59770992
-60.77633588,-53.34122137,15.78091603,44.39160305,214.7045802,206.1778626
-23.15038168,-32.42519084,-16.89083969,-5.982442748,88.11679389,-200.8374046
11.13206107,-3.56259542,30.97938931,-1.593129771,249.429771,209.429771
-8.799236641,-3.753435115,-2.448091603,-27.81450382,-250.8374046,-26.3870229
-4.532061069,-3.081679389,-3.783969466,-25.1351145,58.75801527,18.80381679
-3.49389313,-2.35648855,-3.295419847,-5.42519084,44.58244275,209.429771
-4.616030534,-3.829770992,-3.997709924,-2.951908397,208.8648855,-53.6389313
-0.883206107,-0.722900763,-3.608396947,-3.532061069,-9.318320611,-200.8374046
,-4.234351145,-3.387022901,-4.722900763,-6.180916031,-200.8374046
,,-6.104580153,-1.539694656,-69.02824427,209.429771
,,,,-4.707633588,-200.8374046
,,,,-176.4938931,-196.1885496
,,,,-1.593129771,-200.8374046
,,,,-2.096946565,13.58244275
,,,,-6.852671756,47.12442748
,,,,,12.80381679
,,,,,-28.29541985
