Typical c1,Typical c2,Typical c3,Typical c4,Atypical c1,Atypical c2
-8.020610687,-3.898473282,-6.104580153,-4.997709924,-5.524427481,-4.56259542
-9.203816794,-4.364122137,-6.089312977,-5.532061069,-2.165648855,-4.753435115
-20.04351145,-2.42519084,-4.203816794,-3.066412214,-3.776335878,-1.196183206
-22.48625954,-0.364122137,-2.524427481,-5.402290076,-3.654198473,-13.85267176
9.483206107,-10.73053435,-12.73816794,-3.409923664,-4.440458015,-200.8374046
1.376335878,-14.98244275,1.689312977,106.7045802,-4.325954198,-200.8374046
0.95648855,-22.02061069,-21.29541985,-18.86793893,-114.0053435,-200.6618321
45.87251908,-3.402290076,-0.669465649,-5.135114504,-4.890839695,-200.8374046
-3.730534351,10.9870229,-1.76870229,-65.86030534,-9.97480916,152.2312977
-4.280152672,-9.165648855,-22.29541985,3.50610687,249.429771,-200.8374046
-83.74580153,-5.020610687,-1.104580153,0.361068702,-250.8374046,43.80381679
-3.35648855,-4.318320611,-22.11221374,-5.180916031,-137.5244275,159.1625954
-4.867938931,-4.379389313,-0.600763359,-4.020610687,-1.341221374,15.17022901
-3.684732824,-4.257251908,-5.63129771,-2.692366412,-8.738167939,-140.2038168
-5.020610687,-3.669465649,-2.799236641,-2.585496183,114.3458015,-2.944274809
-3.49389313,-4.875572519,-3.325954198,-5.142748092,249.429771,-2.715267176
-3.371755725,-4.226717557,-3.860305344,-0.997709924,-250.8374046,16.32290076
-2.898473282,-3.539694656,-3.524427481,-3.936641221,-250.8374046,-12.70763359
-3.448091603,-4.188549618,-4.677099237,-4.219083969,-114.8679389,-65.22671756
-3.501526718,-4.97480916,-3.936641221,-2.97480916,-238.2343511,-214.7610687
-4.806870229,-4.463358779,-4.409923664,-1.394656489,-10.35648855,174.8877863
-0.180916031,-6.241984733,4.009923664,,-3.455725191,174.910687
-4.364122137,,-5.051145038,,-3.745801527,35.49083969
-4.417557252,,,,-1.394656489,39.06335878
-3.654198473,,,,,-2.967175573
-4.280152672,,,,,-0.692366412
-3.753435115,,,,,-3.35648855
-3.440458015,,,,,-1.516793893
