Typical c1,Typical c2,Typical c3,Typical c4,Atypical c1,Atypical c2
-1.667175573,-4.020610687,-3.463358779,-6.616030534,-3.776335878,-3.753435115
-2.313740458,-4.249618321,-2.936641221,-4.310687023,-4.761068702,-4.692366412
-2.057251908,-3.753435115,-3.791603053,-4.776335878,0.124427481,-30.40229008
10.8740458,-3.585496183,5.475572519,-4.012977099,-4.623664122,-175.2114504
3.735114504,-2.967175573,-12.62366412,-2.577862595,-7.119847328,209.429771
-22.89694656,-4.56259542,11.00992366,81.93358779,-0.066412214,78.82671756
-16.10534351,-4.226717557,-12.0129771,-21.67709924,-5.722900763,-164.7152672
1.891603053,-7.11221374,-24.92900763,-25.43282443,-2.348854962,-200.8374046
76.37480916,-11.59312977,9.139694656,52.96412214,-1.127480916,171.2541985
-2.896183206,0.16259542,40.53664122,20.55954198,249.429771,-200.8374046
-2.238931298,-4.646564885,-3.547328244,50.51374046,249.429771,-170.570229
0.299236641,-9.035877863,-7.478625954,-16.62366412,200.521374,26.97175573
-14.28854962,23.07099237,-6.012977099,-22.66946565,249.429771,209.429771
-0.887022901,15.77328244,-3.448091603,26.69694656,-250.8374046,-63.31832061
0.496946565,-28.48625954,-2.593129771,29.9870229,249.429771,209.429771
4.718320611,-20.56259542,-4.303053435,14.07099237,-250.8374046,209.429771
-1.191603053,-4.318320611,-3.967175573,-5.04351145,-0.096946565,-140.9137405
-2.575572519,-1.921374046,-3.814503817,-3.600763359,249.429771,249.429771
-2.126717557,-3.913740458,-4.501526718,-3.516793893,171.0480916,15.71984733
-0.534351145,-4.516793893,-4.165648855,-11.09694656,144.4603053,-218.9900763
-2.580916031,-5.203816794,-3.150381679,-4.241984733,4.635877863,-69.0740458
-2.661068702,0.475572519,-5.226717557,2.567175573,200.6435115,-200.8374046
-1.51221374,-3.83740458,-7.005343511,-1.875572519,-18.94427481,-18.89847328
-2.228244275,-3.49389313,-3.402290076,-5.127480916,-7.211450382,249.429771
-3.104580153,-4.348854962,-3.684732824,-3.944274809,-2.97480916,-2.470992366
-3.638931298,0.651145038,-4.272519084,-3.585496183,-6.990076336,-3.020610687
-1.961068702,-6.295419847,-4.951908397,-3.188549618,,-4.654198473
,-2.310687023,-4.990076336,-7.211450382,,-4.722900763
,,,-3.348854962,,-3.524427481
,,,-4.387022901,,-4.661832061
,,,-4.753435115,,
,,,-9.42519084,,
