ts,Date Time,Date,gyY,gyz,gyx,acx,acz,acy,Time,cid,type
1665813485530,"10/15/2022, 11:15:56",10/15/2022,-13002,-11953,-1360,-13420,8016,100,11:15:56,CHL035,0
1665813487521,"10/15/2022, 11:15:56",10/15/2022,11763,17002,-1376,-5364,12500,4988,11:15:56,CHL035,0
1665813489573,"10/15/2022, 11:15:56",10/15/2022,-12341,19427,-1360,-11304,9280,-480,11:15:56,CHL035,0
1665813491722,"10/15/2022, 11:15:56",10/15/2022,-15760,4913,-1376,-11008,9996,540,11:15:56,CHL035,0
1665813493820,"10/15/2022, 11:15:56",10/15/2022,-8515,644,-1344,-10252,8008,12812,11:15:56,CHL035,0
1665813495790,"10/15/2022, 11:15:56",10/15/2022,-3578,-17918,-1376,-13536,14716,2964,11:15:56,CHL035,0
1665813497902,"10/15/2022, 11:15:56",10/15/2022,16954,-3504,-1344,-8620,8384,404,11:15:56,CHL035,0
1665813499866,"10/15/2022, 11:15:56",10/15/2022,-4578,2259,-1376,-15536,6176,6304,11:15:56,CHL035,0
1665813502111,"10/15/2022, 11:15:56",10/15/2022,7598,-9259,-1376,-9456,12580,3304,11:15:56,CHL035,0
1665813504101,"10/15/2022, 11:15:56",10/15/2022,-12406,4587,-1360,-17444,19740,-2176,11:15:56,CHL035,0
1665813506242,"10/15/2022, 11:15:56",10/15/2022,12737,-3947,-1376,-12252,8444,4280,11:15:56,CHL035,0
1665813508502,"10/15/2022, 11:15:56",10/15/2022,-446,71,-1344,-13620,3048,7600,11:15:56,CHL035,0
1665813510471,"10/15/2022, 11:15:56",10/15/2022,-679,-509,-1328,-13668,3248,7112,11:15:56,CHL035,0
1665813512481,"10/15/2022, 11:15:56",10/15/2022,-461,21,-1328,-13736,3348,7548,11:15:56,CHL035,0
1665813514531,"10/15/2022, 11:15:56",10/15/2022,-88,-187,-1376,-13648,3484,7800,11:15:56,CHL035,0
1665813516571,"10/15/2022, 11:15:56",10/15/2022,-494,-232,-1360,-13436,3360,7812,11:15:56,CHL035,0
1665813163502,"10/15/2022, 11:15:56",10/15/2022,-516,-314,-1728,-13716,7436,1080,11:15:56,CHL031,0
1665813165554,"10/15/2022, 11:15:56",10/15/2022,-291,-179,-1728,-13648,7528,976,11:15:56,CHL031,0
1665813167613,"10/15/2022, 11:15:56",10/15/2022,-504,-35,-1760,-13860,7432,972,11:15:56,CHL031,0
1665813169681,"10/15/2022, 11:15:56",10/15/2022,-701,-455,-1744,-13980,6512,1172,11:15:56,CHL031,0
1665813171879,"10/15/2022, 11:15:56",10/15/2022,1705,146,-1728,-14416,6332,428,11:15:56,CHL031,0
1665813174032,"10/15/2022, 11:15:56",10/15/2022,-7684,4063,-1728,-14420,-532,-2840,11:15:56,CHL031,0
1665813176272,"10/15/2022, 11:15:56",10/15/2022,2909,-8174,-1776,-15932,2764,1020,11:15:56,CHL031,0
1665813178332,"10/15/2022, 11:15:56",10/15/2022,-3072,-2736,-1744,-9352,12256,-764,11:15:56,CHL031,0
1665813180379,"10/15/2022, 11:15:56",10/15/2022,5833,4541,-1744,-9512,11932,156,11:15:56,CHL031,0
