acx,acy,acz,gyx,gyY,gyz,cluster
14912,7132,-7372,-2128,1615,-911,1
14936,6604,-4560,-2160,553,-1357,1
14212,532,-2252,-2128,-1084,-1816,1
12740,2456,-656,-2128,1184,-3678,1
13836,15420,-2228,-2144,6873,-1853,1
13500,9244,4068,-2144,-4791,-908,1
6620,-8060,-11472,-2160,405,-1580,1
-396,-13436,-12184,-2112,16366,-11049,1
-9788,-4824,-12460,-2000,-22354,-562,0
-10252,-1224,-13852,-2000,418,-1509,0
-3800,-7572,-14976,-1984,516,-1864,1
-2448,-6340,-15892,-1952,246,-2122,1
9992,-3464,-15236,-2320,548,-4963,1
8352,-17200,-7208,-2288,3436,-3590,1
6572,-12996,-9484,-2224,-2583,-2187,1
7932,-13308,-8268,-2224,-399,-1652,1
8928,-12688,-9140,-2224,-473,-1720,1
10920,-13636,-4436,-2192,-1747,-2045,1
15192,-10308,-9852,-2176,-5931,-1233,1
-8924,7468,-9072,-2160,-16907,277,0
-464,11760,-13752,-2144,-8807,-830,1
-6272,6952,-26180,-2048,21681,-8511,1
-12412,9900,-14892,-2048,1015,-22,0
-8712,9148,-20888,-2032,-19398,2830,0
-13136,-2496,-880,-2032,-15500,-3934,0
-14344,3836,-32768,-1984,-12321,3738,0
-8700,-4400,-328,-2016,21381,-12583,0
-17172,4860,-10248,-1984,-24388,16743,0
-12736,9720,-10516,-1984,-10012,3426,0
-16760,5864,-18992,-1920,18337,-4820,0
-10124,356,-17164,-1952,-21158,11424,0
3080,32767,-1464,-1952,-7263,5637,1
10164,-15708,2116,-1888,-4358,-14956,1
-18216,-24088,5248,-1888,-16940,6869,0
-2728,-19908,504,-1904,2436,-4868,0
2112,-1172,-12720,-1904,-10042,7044,1
-14368,5428,-11280,-1888,7694,-18673,0
-10300,-8024,-8884,-1904,-28319,1116,0
-13208,-4224,-11576,-1872,-4558,-2956,0
-9272,-2468,-10808,-1856,-1965,-1960,0
-11556,-2360,-16332,-1856,14627,-9472,0
-11152,12812,-1748,-1840,4918,-7615,0
-10904,10268,264,-1808,-1773,-414,0
-6616,11128,-1824,-1808,1526,-974,0
-15836,-1720,2908,-1840,386,-1745,0
6844,12736,-8584,-608,-12271,1162,1
17008,14560,-5148,-640,-3237,1496,1
8336,13492,-7568,-656,1996,-2756,1
5376,11828,-10468,-640,1268,-3013,1
-1140,12548,-10520,-624,-127,-1703,1
-2308,12984,-9840,-640,-28,-2031,1
-2396,12832,-9944,-576,-121,-1900,1
-2172,12700,-9992,-592,39,-1708,1
-2744,12596,-9752,-624,260,-1748,1
-3212,8820,-7860,-576,7949,2242,1
7012,10180,-12512,-576,462,-2167,1
7240,9708,-11968,-592,811,-1857,1
6704,9752,-11364,-608,-798,-2102,1
13160,6404,-15180,-560,-7878,-5407,1
