Angular Velocity (rad/s),Child category,English letters
-2.867938931,Typical  ,E
-0.638931298,Typical  ,E
-3.890839695,Typical  ,E
-3.669465649,Typical  ,E
-3.180916031,Typical  ,E
-9.554961832,Typical  ,E
-0.440458015,Typical  ,E
-16.59312977,Typical  ,E
91.59007634,Typical  ,E
-21.97480916,Typical  ,E
-28.5778626,Typical  ,E
-13.18091603,Typical  ,E
3.521374046,Typical  ,E
-12.93664122,Typical  ,E
-18.08931298,Typical  ,E
8.674045802,Typical  ,E
0.765648855,Typical  ,E
-4.501526718,Typical  ,E
-2.791603053,Typical  ,E
-4.165648855,Typical  ,E
-4.684732824,Typical  ,E
-4.142748092,Typical  ,E
-3.058778626,Typical  ,E
-3.83740458,Typical  ,E
-2.936641221,Typical  ,E
-2.180916031,Typical  ,E
-6.852671756,Atypical  ,E
-3.783969466,Atypical  ,E
-3.951908397,Atypical  ,E
-1.822137405,Atypical  ,E
4.597709924,Atypical  ,E
-5.83740458,Atypical  ,E
13.78091603,Atypical  ,E
249.429771,Atypical  ,E
-201.8603053,Atypical  ,E
249.429771,Atypical  ,E
65.56717557,Atypical  ,E
-217.2954198,Atypical  ,E
249.429771,Atypical  ,E
-250.8374046,Atypical  ,E
249.429771,Atypical  ,E
-250.8374046,Atypical  ,E
-250.8374046,Atypical  ,E
-211.570229,Atypical  ,E
-170.5625954,Atypical  ,E
70.87251908,Atypical  ,E
69.88015267,Atypical  ,E
-9.42519084,Atypical  ,E
-61.18091603,Atypical  ,E
-3.677099237,Atypical  ,E
-3.058778626,Atypical  ,E
-7.593129771,Atypical  ,E
-3.577862595,Atypical  ,E
-4.348854962,Typical  ,A
-5.325954198,Typical  ,A
-3.646564885,Typical  ,A
-4.470992366,Typical  ,A
-5.715267176,Typical  ,A
-3.982442748,Typical  ,A
-3.913740458,Typical  ,A
-31.73053435,Typical  ,A
10.81908397,Typical  ,A
-16.35648855,Typical  ,A
-30.11221374,Typical  ,A
22.45267176,Typical  ,A
-33.55496183,Typical  ,A
-4.661832061,Typical  ,A
-4.761068702,Typical  ,A
-1.539694656,Typical  ,A
-3.593129771,Typical  ,A
-2.875572519,Typical  ,A
-8.936641221,Typical  ,A
-4.394656489,Typical  ,A
-4.417557252,Typical  ,A
-3.677099237,Typical  ,A
-1.066412214,Typical  ,A
-3.577862595,Typical  ,A
-4.684732824,Typical  ,A
-2.936641221,Typical  ,A
-3.570229008,Typical  ,A
-3.310687023,Typical  ,A
0.780916031,Typical  ,A
-3.929007634,Typical  ,A
-3.364122137,Typical  ,A
-2.860305344,Typical  ,A
-4.219083969,Typical  ,A
-3.440458015,Typical  ,A
-3.661832061,Typical  ,A
-4.012977099,Typical  ,A
-30.18854962,Typical  ,A
-4.845038168,Typical  ,A
-44.18091603,Typical  ,A
-21.43282443,Typical  ,A
-4.295419847,Typical  ,A
-11.68473282,Typical  ,A
-3.990076336,Typical  ,A
-2.90610687,Typical  ,A
-3.150381679,Typical  ,A
-1.341221374,Typical  ,A
-1.150381679,Typical  ,A
-2.623664122,Typical  ,A
-4.219083969,Typical  ,A
-4.119847328,Typical  ,A
-3.539694656,Typical  ,A
-2.822137405,Typical  ,A
-3.272519084,Typical  ,A
-1.188549618,Typical  ,A
5.009923664,Typical  ,A
-34.80687023,Typical  ,A
48.4221374,Typical  ,A
55.47557252,Typical  ,A
-2.967175573,Typical  ,A
-6.440458015,Typical  ,A
-4.058778626,Typical  ,A
-3.539694656,Typical  ,A
-2.470992366,Typical  ,A
-6.867938931,Typical  ,A
-4.852671756,Typical  ,A
-3.49389313,Typical  ,A
-3.669465649,Typical  ,A
-3.012977099,Typical  ,A
-5.570229008,Typical  ,A
-4.577862595,Typical  ,A
-3.42519084,Typical  ,A
-1.97480916,Typical  ,A
-27.82977099,Typical  ,A
-25.10458015,Typical  ,A
-13.79160305,Typical  ,A
-18.95954198,Typical  ,A
27.91832061,Typical  ,A
-5.913740458,Typical  ,A
-3.929007634,Typical  ,A
-3.967175573,Typical  ,A
-3.761068702,Typical  ,A
-0.417557252,Typical  ,A
-3.822137405,Typical  ,A
-4.684732824,Typical  ,A
-1.684732824,Atypical  ,A
-2.56259542,Atypical  ,A
-24.50152672,Atypical  ,A
-40.5778626,Atypical  ,A
249.429771,Atypical  ,A
176.5061069,Atypical  ,A
-12.62366412,Atypical  ,A
-2.669465649,Atypical  ,A
13.75038168,Atypical  ,A
40.52900763,Atypical  ,A
249.429771,Atypical  ,A
249.429771,Atypical  ,A
2.71221374,Atypical  ,A
-5.058778626,Atypical  ,A
-4.051145038,Atypical  ,A
-4.219083969,Atypical  ,A
-250.8374046,Atypical  ,A
249.429771,Atypical  ,A
10.51374046,Atypical  ,A
249.429771,Atypical  ,A
-104.7610687,Atypical  ,A
-189.959542,Atypical  ,A
-106.089313,Atypical  ,A
-250.8374046,Atypical  ,A
157.7885496,Atypical  ,A
-110.8221374,Atypical  ,A
-43.57022901,Atypical  ,A
14.09389313,Atypical  ,A
9.620610687,Atypical  ,A
37.94885496,Atypical  ,A
