Typical c1,Typical c2,Typical c3,Typical c4,Atypical c1,Atypical c2
-4.303053435,-5.852671756,-4.188549618,-3.180916031,-6.852671756,-3.753435115
-3.776335878,-1.524427481,-3.799236641,-9.554961832,-3.783969466,-4.692366412
-2.967175573,-2.119847328,-6.051145038,-0.440458015,-3.951908397,-30.40229008
-6.97480916,-11.02824427,-4.646564885,-16.59312977,-1.822137405,-175.2114504
-1.761068702,-22.33358779,-4.310687023,91.59007634,4.597709924,209.429771
-2.56259542,-14.94427481,-3.875572519,-21.97480916,-5.83740458,78.82671756
5.170229008,-36.78396947,3.055725191,-28.5778626,13.78091603,-164.7152672
-20.86030534,-25.95954198,2.758015267,-13.18091603,249.429771,-200.8374046
28.04045802,-19.33358779,82.40687023,3.521374046,-201.8603053,171.2541985
-0.745801527,-11.24961832,-33.14274809,-12.93664122,249.429771,-200.8374046
48.49083969,24.1778626,39.53664122,-18.08931298,65.56717557,-170.570229
-16.0740458,-2.249618321,-17.33358779,8.674045802,-217.2954198,26.97175573
-5.28778626,-4.241984733,-2.799236641,0.765648855,249.429771,209.429771
-4.11221374,-4.188549618,-4.142748092,-4.501526718,-250.8374046,-63.31832061
2.414503817,-3.570229008,-3.646564885,-2.791603053,249.429771,209.429771
-4.119847328,-4.402290076,-3.524427481,-4.165648855,-250.8374046,209.429771
-4.333587786,-4.56259542,-5.165648855,-4.684732824,-250.8374046,-140.9137405
-3.318320611,-4.173282443,-3.012977099,-4.142748092,-211.570229,249.429771
-3.822137405,-4.203816794,-5.845038168,-3.058778626,-170.5625954,15.71984733
-4.7,-2.463358779,-3.379389313,-3.83740458,70.87251908,-218.9900763
-5.509160305,-3.463358779,-2.959541985,-2.936641221,69.88015267,-69.0740458
-0.692366412,-4.150381679,-1.325954198,-2.180916031,-9.42519084,-200.8374046
-2.654198473,-3.997709924,-4.532061069,,-61.18091603,-18.89847328
-3.608396947,-8.539694656,-3.898473282,,-3.677099237,249.429771
-3.28778626,-2.97480916,-4.432824427,,-3.058778626,-2.470992366
-3.7,-4.730534351,-2.684732824,,-7.593129771,-3.020610687
-3.440458015,-2.394656489,-2.806870229,,-3.577862595,-4.654198473
-5.005343511,-3.845038168,-2.806870229,,,-4.722900763
-8.432824427,-1.783969466,-2.867938931,,,-3.524427481
-7.058778626,,-0.638931298,,,-4.661832061
2.941221374,,-3.890839695,,,
-4.867938931,,-3.669465649,,,
-5.440458015,,,,,
-4.074045802,,,,,
-2.226717557,,,,,
-3.318320611,,,,,
-0.089312977,,,,,
